vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
1.520000000000001e+00	2.840551e+00
1.530000000000001e+00	2.814509e+00
1.540000000000001e+00	2.788258e+00
1.550000000000001e+00	2.761802e+00
1.560000000000001e+00	2.735144e+00
1.570000000000001e+00	2.708288e+00
1.580000000000001e+00	2.681236e+00
1.590000000000001e+00	2.653991e+00
1.600000000000001e+00	2.626558e+00
1.610000000000001e+00	2.598939e+00
1.620000000000001e+00	2.571137e+00
1.630000000000001e+00	2.543156e+00
1.640000000000001e+00	2.514999e+00
1.650000000000001e+00	2.486669e+00
1.660000000000001e+00	2.458169e+00
1.670000000000001e+00	2.429502e+00
1.680000000000001e+00	2.400672e+00
1.690000000000001e+00	2.371681e+00
1.700000000000001e+00	2.342534e+00
1.710000000000001e+00	2.313233e+00
1.720000000000001e+00	2.283781e+00
1.730000000000001e+00	2.254182e+00
1.740000000000001e+00	2.224438e+00
1.750000000000001e+00	2.194553e+00
1.760000000000001e+00	2.164530e+00
1.770000000000001e+00	2.134372e+00
1.780000000000001e+00	2.104082e+00
1.790000000000001e+00	2.073663e+00
1.800000000000001e+00	2.043118e+00
1.810000000000001e+00	2.012451e+00
1.820000000000001e+00	1.981664e+00
1.830000000000001e+00	1.950761e+00
1.840000000000001e+00	1.919744e+00
1.850000000000001e+00	1.888616e+00
1.860000000000001e+00	1.857381e+00
1.870000000000001e+00	1.826041e+00
1.880000000000001e+00	1.794600e+00
1.890000000000001e+00	1.763059e+00
1.900000000000001e+00	1.731423e+00
1.910000000000001e+00	1.699695e+00
1.920000000000001e+00	1.667876e+00
1.930000000000001e+00	1.635970e+00
1.940000000000002e+00	1.603979e+00
1.950000000000002e+00	1.571908e+00
1.960000000000002e+00	1.539757e+00
1.970000000000002e+00	1.507531e+00
1.980000000000002e+00	1.475231e+00
1.990000000000002e+00	1.442861e+00
2.000000000000001e+00	1.410424e+00
2.010000000000001e+00	1.377921e+00
2.020000000000001e+00	1.345356e+00
2.030000000000001e+00	1.313083e+00
2.040000000000000e+00	1.283884e+00
2.050000000000000e+00	1.257660e+00
2.060000000000000e+00	1.233774e+00
2.070000000000000e+00	1.211787e+00
2.080000000000000e+00	1.191382e+00
2.089999999999999e+00	1.172322e+00
2.099999999999999e+00	1.154422e+00
2.109999999999999e+00	1.137535e+00
2.119999999999999e+00	1.121542e+00
2.129999999999999e+00	1.106346e+00
2.139999999999998e+00	1.091866e+00
2.149999999999998e+00	1.078032e+00
2.159999999999998e+00	1.064786e+00
2.169999999999998e+00	1.052077e+00
2.179999999999997e+00	1.039862e+00
2.189999999999997e+00	1.028101e+00
2.199999999999997e+00	1.016761e+00
2.209999999999997e+00	1.005812e+00
2.219999999999997e+00	9.952270e-01
2.229999999999996e+00	9.849824e-01
2.239999999999996e+00	9.750566e-01
